company_name,status_label,year,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18
C_1,alive,1999,511.267,833.107,18.373,89.031,336.018,35.163,128.348,372.7519,1024.333,740.998,180.447,70.658,191.226,163.816,201.026,1024.333,401.483,935.302
C_1,alive,2000,485.856,713.811,18.577,64.367,320.59,18.531,115.187,377.118,874.255,701.854,179.987,45.79,160.444,125.392,204.065,874.255,361.642,809.888
C_1,alive,2001,436.656,526.477,22.496,27.207,286.588,-58.939,77.528,364.5928,638.721,710.199,217.699,4.711,112.244,150.464,139.603,638.721,399.964,611.514
C_1,alive,2002,396.412,496.747,27.172,30.745,259.954,-12.41,66.322,143.3295,606.337,686.621,164.658,3.573,109.59,203.575,124.106,606.337,391.633,575.592
C_1,alive,2003,432.204,523.302,26.68,47.491,247.245,3.504,104.661,308.9071,651.958,709.292,248.666,20.811,128.656,131.261,131.884,651.958,407.608,604.467
C_1,alive,2004,474.542,598.172,27.95,61.774,255.477,15.453,127.121,522.6794,747.848,732.23,227.159,33.824,149.676,160.025,142.45,747.848,417.486,686.074
C_1,alive,2005,624.454,704.081,29.222,91.877,323.592,35.163,136.272,882.6283,897.284,978.819,318.576,62.655,193.203,187.788,183.55,897.284,556.102,805.407
C_1,alive,2006,645.721,837.171,32.199,118.907,342.593,58.66,181.691,1226.1925,1061.169,1067.633,253.611,86.708,223.998,256.506,242.153,1061.169,573.39,942.262
C_1,alive,2007,783.431,1080.895,39.952,168.522,435.608,75.144,202.472,747.5434,1384.919,1362.01,507.918,128.57,304.024,218.499,318.184,1384.919,776.755,1216.397
C_1,alive,2008,851.312,1110.677,40.551,166.08,477.424,78.651,227.3,571.5948,1423.976,1377.511,392.984,125.529,313.299,254.418,385.851,1423.976,720.616,1257.896
C_1,alive,2009,863.429,1065.902,38.93,134.345,496.904,44.628,238.466,777.8348,1352.151,1501.042,336.191,95.415,286.249,325.55,389.641,1352.151,754.692,1217.806
C_1,alive,2010,913.985,1408.071,59.296,196.312,507.274,69.826,296.489,1049.8206,1775.782,1703.727,329.802,137.016,367.711,416.01,467.485,1775.782,868.438,1579.47
C_1,alive,2011,1063.272,1662.408,80.333,222.693,599.752,67.723,324.879,485.2897,2074.498,2195.653,669.489,142.36,412.09,473.226,486.582,2074.498,1329.631,1851.805
C_1,alive,2012,1033.7,1714.5,108.6,245.2,582.9,55,315.4,790.0029,2167.1,2136.9,622.2,136.6,452.6,389,542.4,2167.1,1217.4,1921.9
C_1,alive,2013,1116.9,1581.4,113.4,256,632.9,72.9,297.9,961.308,2035,2199.5,564.3,142.6,453.6,402.1,616.7,2035,1198.8,1779
C_1,alive,2014,954.1,1342.7,92.3,83.7,566.7,10.2,231.1,1046.3954,1594.3,1515,85,-8.6,251.6,412,603.9,1594.3,669.9,1510.6
C_1,alive,2015,873.1,1354.9,70.8,136.9,563.7,47.7,242.7,842.5112,1662.6,1442.1,136.1,66.1,307.7,329,637.2,1662.6,576.3,1525.7
C_1,alive,2016,888.5,1422.7,71,148.2,601.1,56.5,251.4,1200.3288,1767.6,1504.1,155.3,77.2,344.9,335.1,688,1767.6,589.9,1619.4
C_1,alive,2017,942.7,1413.2,40.5,126.5,547.9,15.6,203,1551.458,1748.3,1524.7,177.2,86,335.1,333.3,701.2,1748.3,588.4,1621.8
C_2,alive,1999,1029.438,930.142,102.09,413.739,243.882,87.635,436.751,7161.3749,1926.947,1672.529,11.024,311.649,996.805,412.954,827.489,1926.947,423.978,1513.208
C_2,alive,2000,2650.9,1567.1,146.2,670.1,486.1,868.1,714.3,16465.1625,3287.9,3970.5,16.5,523.9,1720.8,1041.3,1843.8,3287.9,1057.8,2617.8
C_2,alive,2001,1305.2,1484.2,197.8,-55.6,253.6,-1287.7,280.7,3603.6,2402.8,2499.7,3,-253.4,918.6,599.4,495.6,2402.8,606.3,2458.4
C_2,alive,2002,686.3,677.6,104.7,-192.4,94.9,-1145,140.9,1263.368,1047.7,1144.2,10.8,-297.1,370.1,397.8,-688,1047.7,412,1240.1
C_2,alive,2003,1006,422.6,59.2,19.9,69.5,-76.7,141.2,2072.962,773.2,1296.9,400,-39.3,350.6,265.5,-771.2,773.2,669.2,753.3
C_2,alive,2004,835.6,440.7,41.7,78.2,97.8,16.4,194.5,1790.321,784.3,1428.1,400,36.5,343.6,302,-747.1,784.3,768.8,706.1
C_2,alive,2005,853,681.1,67.2,159,140.5,110.7,233.7,2032.925,1169.2,1535,400,91.8,488.1,286.6,-648.5,1169.2,761.1,1010.2
C_2,alive,2006,942.7,801.1,67.8,140.4,165.5,65.7,193.1,1677.132,1281.9,1611.4,400,72.6,480.8,260.1,-567.4,1281.9,737.9,1141.5
C_2,alive,2007,1008.2,827.5,67.2,167.9,170.2,106.3,223.7,2199.12,1322.2,1764.8,200.6,100.7,494.7,474.1,-448.2,1322.2,757.2,1154.3
C_2,alive,2008,1077.4,870.7,82.4,173.3,162.7,-41.9,240.6,705.642,1456.4,1921,650.7,90.9,585.7,278,-505.6,1456.4,1006.8,1283.1
C_2,alive,2009,900.2,600.5,66.4,84.7,131.1,-474.3,200.3,805.644,996.7,1343.6,651,18.3,396.2,236,-979.3,996.7,987.4,912
C_2,alive,2010,1107.7,677.2,61.5,121.4,106.4,62,252.5,1231.524,1156.6,1474.5,650.8,59.9,479.4,288.7,-918.4,1156.6,1040.1,1035.2
C_3,alive,1999,9.757,19.796,0.667,-0.265,5.494,-2.207,3.924,3.2449,29.37,13.986,5.974,-0.932,9.574,2.804,-6.375,29.37,8.778,29.635
C_3,alive,2000,7.884,16.506,0.7,0.672,4.078,-0.808,3.244,4.5428,25.367,11.608,4.875,-0.028,8.861,2.278,-7.184,25.367,7.153,24.695
C_3,alive,2001,6.494,15.7,0.761,0.381,3.488,-1.738,2.677,2.9667,24.051,8.635,3.873,-0.38,8.351,2.045,-8.922,24.051,5.918,23.67
C_3,alive,2002,5.938,12.919,0.355,0.711,2.816,0.084,2.465,1.5761,20.087,7.85,2.546,0.356,7.168,2.481,-8.816,20.087,5.027,19.376
C_3,alive,2004,5.807,12.018,0.16,1.614,2.704,1.345,2.504,13.9065,19.833,6.245,0.222,1.454,7.815,3.222,-8.974,19.833,3.58,18.219
C_3,alive,2005,7.726,14.013,0.177,1.856,3.921,1.9,2.704,19.7568,23.135,8.153,0,1.679,9.122,3.375,-7.073,23.135,3.49,21.279
C_3,alive,2006,13.582,15.454,0.216,1.252,4.835,1.005,2.757,29.0131,24.998,14.341,0,1.036,9.544,3.6,-5.977,24.998,3.672,23.746
C_3,alive,2007,13.454,17.589,0.5,-0.432,6.395,-4.673,5.031,30.4793,28.72,27.171,5.822,-0.932,11.131,6.259,-10.708,28.72,12.296,29.152
C_3,alive,2008,12.686,19.334,1.686,-2.721,6.95,-11.049,4.282,5.0201,34.28,21.401,0.023,-4.407,14.946,16.483,-21.447,34.28,17.224,37.001
C_4,alive,1999,381.872,366.683,25.633,123.16,161.033,36.972,189.261,910.5998,732.443,1160.266,591.784,97.527,365.76,164.276,54.359,732.443,808.333,609.283
C_4,alive,2000,600.418,434.197,64.836,190.533,253.038,55.508,243.533,1764.3893,900.794,1610.435,504.445,125.697,466.597,206.438,54.069,900.794,762.548,710.261
